
Como,comasco,25/08/2023,Vento,1,null
Como,comasco,25/08/2023,Umidita',1,niente
Como,comasco,25/08/2023,Pressione,3,null
Como,comasco,25/08/2023,Temperatura,1,creazione
Como,comasco,25/08/2023,Precipitazioni,1,boh
Como,comasco,25/08/2023,Altitudine dei ghiacciai,1,fa freddo
Como,comasco,25/08/2023,Massa dei ghiacciai,1,null
Como,comasco,25/08/2023,Vento,5,null
Como,comasco,25/08/2023,Umidita',1,niente
Como,comasco,25/08/2023,Pressione,3,null
Como,comasco,25/08/2023,Temperatura,1,creazione
Como,comasco,25/08/2023,Precipitazioni,1,boh
Como,comasco,25/08/2023,Altitudine dei ghiacciai,1,fa freddo
Como,comasco,25/08/2023,Massa dei ghiacciai,1,null
